legacy_ocms_code,synthetic_project_code,surviving_project_code,reviewed_by,rationale
N24000874,ocms:N24000874,617960,,ocms:N24000874 was minted by the truncated-read run of load-mospi-historical; 617960 is the MoSPI project_code that already carried legacy_ocms_code N24000874
N24002165,ocms:N24002165,617962,,ocms:N24002165 was minted by the truncated-read run of load-mospi-historical; 617962 is the MoSPI project_code that already carried legacy_ocms_code N24002165
N24001904,ocms:N24001904,617965,,ocms:N24001904 was minted by the truncated-read run of load-mospi-historical; 617965 is the MoSPI project_code that already carried legacy_ocms_code N24001904
N24000382,ocms:N24000382,617966,,ocms:N24000382 was minted by the truncated-read run of load-mospi-historical; 617966 is the MoSPI project_code that already carried legacy_ocms_code N24000382
N24000779,ocms:N24000779,617968,,ocms:N24000779 was minted by the truncated-read run of load-mospi-historical; 617968 is the MoSPI project_code that already carried legacy_ocms_code N24000779
N24000775,ocms:N24000775,617970,,ocms:N24000775 was minted by the truncated-read run of load-mospi-historical; 617970 is the MoSPI project_code that already carried legacy_ocms_code N24000775
N24001228,ocms:N24001228,617973,,ocms:N24001228 was minted by the truncated-read run of load-mospi-historical; 617973 is the MoSPI project_code that already carried legacy_ocms_code N24001228
N24000820,ocms:N24000820,617975,,ocms:N24000820 was minted by the truncated-read run of load-mospi-historical; 617975 is the MoSPI project_code that already carried legacy_ocms_code N24000820
N24000994,ocms:N24000994,617980,,ocms:N24000994 was minted by the truncated-read run of load-mospi-historical; 617980 is the MoSPI project_code that already carried legacy_ocms_code N24000994
N24000988,ocms:N24000988,617982,,ocms:N24000988 was minted by the truncated-read run of load-mospi-historical; 617982 is the MoSPI project_code that already carried legacy_ocms_code N24000988
N24000331,ocms:N24000331,618009,,ocms:N24000331 was minted by the truncated-read run of load-mospi-historical; 618009 is the MoSPI project_code that already carried legacy_ocms_code N24000331
N24001527,ocms:N24001527,618011,,ocms:N24001527 was minted by the truncated-read run of load-mospi-historical; 618011 is the MoSPI project_code that already carried legacy_ocms_code N24001527
N24002135,ocms:N24002135,618012,,ocms:N24002135 was minted by the truncated-read run of load-mospi-historical; 618012 is the MoSPI project_code that already carried legacy_ocms_code N24002135
N24001964,ocms:N24001964,618019,,ocms:N24001964 was minted by the truncated-read run of load-mospi-historical; 618019 is the MoSPI project_code that already carried legacy_ocms_code N24001964
N24001965,ocms:N24001965,618020,,ocms:N24001965 was minted by the truncated-read run of load-mospi-historical; 618020 is the MoSPI project_code that already carried legacy_ocms_code N24001965
N24001961,ocms:N24001961,618023,,ocms:N24001961 was minted by the truncated-read run of load-mospi-historical; 618023 is the MoSPI project_code that already carried legacy_ocms_code N24001961
N24001960,ocms:N24001960,618024,,ocms:N24001960 was minted by the truncated-read run of load-mospi-historical; 618024 is the MoSPI project_code that already carried legacy_ocms_code N24001960
N24000997,ocms:N24000997,618025,,ocms:N24000997 was minted by the truncated-read run of load-mospi-historical; 618025 is the MoSPI project_code that already carried legacy_ocms_code N24000997
N24000996,ocms:N24000996,618026,,ocms:N24000996 was minted by the truncated-read run of load-mospi-historical; 618026 is the MoSPI project_code that already carried legacy_ocms_code N24000996
N24001941,ocms:N24001941,618029,,ocms:N24001941 was minted by the truncated-read run of load-mospi-historical; 618029 is the MoSPI project_code that already carried legacy_ocms_code N24001941
N24001940,ocms:N24001940,618030,,ocms:N24001940 was minted by the truncated-read run of load-mospi-historical; 618030 is the MoSPI project_code that already carried legacy_ocms_code N24001940
N24002011,ocms:N24002011,618031,,ocms:N24002011 was minted by the truncated-read run of load-mospi-historical; 618031 is the MoSPI project_code that already carried legacy_ocms_code N24002011
N24001375,ocms:N24001375,618033,,ocms:N24001375 was minted by the truncated-read run of load-mospi-historical; 618033 is the MoSPI project_code that already carried legacy_ocms_code N24001375
N24002170,ocms:N24002170,618042,,ocms:N24002170 was minted by the truncated-read run of load-mospi-historical; 618042 is the MoSPI project_code that already carried legacy_ocms_code N24002170
