Sl. No,Payment/Receipt,Department,Head,Sub-Head,P/R Code,Work description,Accounts 2017-18,Budget Estimates 2018-19,Revised Estimates 2018-19,2019-20 Revenue,2019-20 Capital,2019-20 Total
1199,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2349 ,Pending Bills,-,-,-,-,28,28
1200,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2350 ,Remodelling of Challagatta Valley (Non Jnnurm Works),273.3,100,75,-,-,-
1201,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2350 ,Pending Bills,-,-,-,-,29,29
1202,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2351 ,RRemodelling of Hebbala Valley (Non Jnnurm Works),306.79,33.45,200,-,-,-
1203,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2351 ,Pending Bills,-,-,-,-,32,32
1204,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2352 ,Remodelling of Kormangala Valley (Non Jnnurm Works),548,618,350,-,-,-
1205,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2352 ,Pending Bills,-,-,-,-,8,8
1206,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P1730 ,Remodelling of Storm Water Drains - 5 CMC’s,141.21,162,-,-,-,-
1207,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P1730 ,Pending Bills,-,-,-,-,97,97
1208,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2971 ,"SWD Works in Hulimavu, Arakere Madiwala & Chikkabegur, Garebhavipalya & Agarakere","2,192.12",159.2,300,-,-,-
1209,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2971 ,Pending Bills,-,-,-,-,255,255
1210,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2947 ,Continued Works of SWD in Ward No. 163,139.59,-,-,-,-,-
1211,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2206 ,Construction of SWD at Kalasipaly-am Main road,-,171.3,-,-,-,-
1212,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P3544 ,SWD Works at Raj aj inagar 1st block ward No.67,-,75,-,-,-,-
1213,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P3545 ,Contraction of Retaining wall for SWD at all cross roads in ward 148,-,10,-,-,-,-
1214,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P3546 ,Remodeling of SWD in JP Nagar ward 177,-,600,-,-,-,-
1215,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P3607 ,Annual Maintenance of SWD -Current Works (Escrow Account),-,-,-,"2,500.00",-,"2,500.00"
1216,Payments,16. Storm Water Drain,Infrastructure,Storm Water Drains Works,P2309 ,SWD Works in Yeshwanthpur,-,100,-,-,-,-
1217,Payments,16. Storm Water Drain,GOI Grants Works,Finance Commission Grants,P3297 ,14th Finance Commission Grants -SWD Works,-,"3,028.07","2,000.00",-,-,-
1218,Payments,16. Storm Water Drain,GOI Grants Works,Finance Commission Grants,P3297 ,Spillover Works,-,-,-,-,358,358
1219,Payments,16. Storm Water Drain,GOI Grants Works,Finance Commission Grants,P3297 ,Current Works (As per annexure),-,-,-,-,"6,100.00","6,100.00"
1220,Payments,16. Storm Water Drain,GOK Grants Works,JNNURM SWD WORKS,P0542 ,Chellagatta Valley,"2,765.76",162.2,"1,600.00",-,-,-
1221,Payments,16. Storm Water Drain,GOK Grants Works,JNNURM SWD WORKS,P0542 ,Pending Bills,-,-,-,-,46,46
1222,Payments,16. Storm Water Drain,GOK Grants Works,JNNURM SWD WORKS,P0543 ,Vrushabhavathi Valley,690.82,-,10,-,-,-
1223,Payments,16. Storm Water Drain,GOK Grants Works,JNNURM SWD WORKS,P0544 ,Hebbala Valley,"2,132.45",273.6,700,-,-,-
1224,Payments,16. Storm Water Drain,GOK Grants Works,JNNURM SWD WORKS,P0545 ,Koramangala Valley,"1,851.88",176.3,700,-,-,-
1225,Payments,16. Storm Water Drain,GOK Grants Works,SWD Flood Works,P1237 ,Flood Managment Works,906.51,138.2,150,-,-,-
1226,Payments,16. Storm Water Drain,GOK Grants Works,SWD Flood Works,P3158 ,SIP Infrastructure Project Works,"43,675.10","30,000.00","26,404.00",-,-,-
1227,Payments,16. Storm Water Drain,GOK Grants Works,SWD Flood Works,P3158 ,Pending Bills,-,-,-,-,"1,000.00","1,000.00"
1228,Payments,16. Storm Water Drain,GOK Grants Works,SWD Flood Works,P3158 ,Spillover Works,-,-,-,-,"36,000.00","36,000.00"
1229,Payments,16. Storm Water Drain,GOK Grants Works,SWD Flood Works,Total,Total of Storm Water Drain Dept.,"57,098.08","36,190.12","32,599.00","2,510.00","43,953.00","46,463.00"
1230,Payments,17. Electrical,Administrative Expenses,General Expenses,P0030 ,Electricity Charges - Crematorium,57.47,200,150,200,-,200
1231,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0287 ,M & R to Electrical Crematorium,333.95,890,300,-,-,-
1232,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0287 ,Pending Bills,-,-,-,112,-,112
1233,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0287 ,Spillover Works,-,-,-,19,-,19
1234,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0287 ,Current Works,-,-,-,500,-,500
1235,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0294 ,"M & R to Electrical Installations in BBMP Buildings, Schools, Matemity.Homes, Community Halls, Markets & Others",156.34,632.9,200,-,-,-
1236,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0294 ,Pending Bills,-,-,-,74,-,74
1237,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0294 ,Spillover Works,-,-,-,62,-,62
1238,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0294 ,Current Works,-,-,-,400,-,400
1239,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0298 ,"M & R to Electrical Installations in Parks & Gardens, Playgrounds, Burial Grounds",51.14,366.5,150,-,-,-
1240,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0298 ,Pending Bills,-,-,-,54,-,54
1241,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0298 ,Spillover Works,-,-,-,33,-,33
1242,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0298 ,Current Works,-,-,-,300,-,300
1243,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P3254 ,Maintenance of Community Halls,-,300,-,300,-,300
1244,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0300 ,M & R to Street Lights - Replacement of Burnt Bulbs etc. (Package),"1,853.31","7,167.00","3,000.00",-,-,-
1245,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0300 ,Pending Bills,-,-,-,"1,283.00",-,"1,283.00"
1246,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0300 ,Current Works (Escrow Account),-,-,-,"6,200.00",-,"6,200.00"
1247,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0303 ,"M & R to Pumpsets, Lifts, DG Sets, Wireless sets & Internal Telephone Exchange",63.26,302.7,100,-,-,-
1248,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0303 ,Pending Bills,-,-,-,8,-,8
1249,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0303 ,Spillover Works,-,-,-,1,-,1
1250,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P0303 ,Current Works,-,-,-,200,-,200
1251,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P1888 ,Maintenanc including electrification of international airport road,-,-,-,-,-,-
1252,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P1888 ,Pending Bills,-,-,-,8,-,8
1253,Payments,17. Electrical,Infrastructure,Repairs &Maintenance,P2220 ,Shifting of Electrical lines at International Airport Road,-,73.5,-,-,-,-
1254,Payments,17. Electrical,Infrastructure,New Installations,P2616 ,Integrated development of street lights development in Ward no 198,149.93,-,-,-,-,-
1255,Payments,17. Electrical,Infrastructure,New Installations,P2195 ,"LED Pilot Project in Ward No.67,142,154,169,178 (Rs. 1 cr each) & ward 163 (Rs.3cr)",2.7,-,-,-,-,-
1256,Payments,17. Electrical,Infrastructure,New Installations,P3142 ,"LED Pilot Project in Ward No-9,2, 11,41,43,27,52,32,57,31,68,72 (Rs 25 Lakhs / Each Ward, For ward No:75-Rs 50 lakh)",-,119.8,110,-,-,-
1257,Payments,17. Electrical,Infrastructure,New Installations,P3142 ,Pending Bills,-,-,-,-,142,142
1258,Payments,17. Electrical,Infrastructure,New Installations,P3255 ,Providing Additional Electrical Fittings at new Zones & 110 Villages,-,-,-,-,-,-
1259,Payments,17. Electrical,Infrastructure,New Installations,P3255 ,Pending Bills,-,-,-,-,120,120
1260,Payments,17. Electrical,Infrastructure,New Installations,P3547 ,"Modernized LED Lighting at Brigade road, MG road, Opera Junction and Bengaluru Time Square",-,500,-,-,-,-
1261,Payments,17. Electrical,Infrastructure,New Installations,P3548 ,Providing LED Screen and Structure at Opera Junction (Bengaluru Time Square),-,500,-,-,-,-
1262,Payments,17. Electrical,Infrastructure,New Installations,P3549 ,Providing Additional street lights in ward No. 152,-,50,-,-,-,-
1263,Payments,17. Electrical,Infrastructure,New Installations,P3256 ,Providing Solar/LED System to Council Building,-,400,-,-,-,-
1264,Payments,17. Electrical,Infrastructure,New Installations,P2629 ,Providing energy saving street light system with timer control,3.87,19.15,5,-,-,-
1265,Payments,17. Electrical,Infrastructure,New Installations,P2629 ,Pending Bills,-,-,-,-,15,15
1266,Payments,17. Electrical,Infrastructure,New Installations,P1881 ,Electrical Works,-,-,5,-,-,-
1267,Payments,17. Electrical,Infrastructure,New Installations,P1881 ,Pending Bills,-,-,-,-,2,2
1268,Payments,17. Electrical,Infrastructure,New Installations,P1828 ,Providing Additional Streetlights,19.9,15,5,-,-,-
1269,Payments,17. Electrical,Infrastructure,New Installations,P1828 ,Pending Bills,-,-,-,-,102,102
1270,Payments,17. Electrical,Infrastructure,New Installations,P1517 ,Upgrading Street Lights of Bangalore - Major Roads,19.74,72.25,10,-,-,-
1271,Payments,17. Electrical,Infrastructure,New Installations,P1517 ,Pending Bills,-,-,-,-,45,45
1272,Payments,17. Electrical,GOI Grants Works,Finance Commission Grants,P3290 ,14th Finance Commission Works -Providing Street Lights & Maintenance,-,"3,017.00","2,000.00",-,-,-
1273,Payments,17. Electrical,GOI Grants Works,Finance Commission Grants,P3290 ,Spillover Works,-,-,-,-,183,183
1274,Payments,17. Electrical,GOI Grants Works,Finance Commission Grants,P3290 ,Current Works (As per annexure),-,-,-,-,"4,176.00","4,176.00"
1275,Payments,17. Electrical,GOK Grants Works,SFC Grants (Electrical),P0029 ,Street Lighting Charges,"23,109.20","22,967.00","22,967.00","25,701.00",-,"25,701.00"
1276,Payments,17. Electrical,GOK Grants Works,SFC Grants (Electrical),Total,Total of Electrical Dept.,"25,820.81","37,592.80","29,002.00","35,455.00","4,785.00","40,240.00"
1277,Payments,18. Education,Administrative Expenses,General Expenses,P0061 ,High School Contingencies,-,20,20,40,-,40
1278,Payments,18. Education,Administrative Expenses,General Expenses,P2647 ,Honorarium to Outsource Teachers,774.99,"1,200.00","1,000.00","1,250.00",-,"1,250.00"
1279,Payments,18. Education,Administrative Expenses,General Expenses,P0067 ,Junior College Contingencies,-,15,15,30,-,30
1280,Payments,18. Education,Administrative Expenses,General Expenses,P3105 ,Maintainence and Installation of CC TV in BBMP Schools and Colleges,-,200,150,200,-,200
1281,Payments,18. Education,Administrative Expenses,General Expenses,P0081 ,Nursery School Contingencies,-,15,15,15,-,15
1282,Payments,18. Education,Administrative Expenses,General Expenses,P3405 ,Purchase of Sanitary pad Burning Machine,-,50,50,50,-,50
1283,Payments,18. Education,Administrative Expenses,General Expenses,P3608 ,Furnitures & other equipments of school & colleges,-,-,-,-,150,150
1284,Payments,18. Education,Administrative Expenses,General Expenses,P3609 ,Housekeeping arrangements to school & colleges,-,-,-,300,-,300
1285,Payments,18. Education,Administrative Expenses,General Expenses,P0089 ,Private Security & Housekeeping Arrangements to Schools & Colleges for 3 years Rs 18.00 Cr,42.38,600,450,450,-,450
1286,Payments,18. Education,Administrative Expenses,Ceremonies & Functions,P0011 ,Independence Day & Republic Day Celebrations,17.69,10,10,20,-,20
1287,Payments,18. Education,Administrative Expenses,Ceremonies & Functions,P0018 ,School Day Celebrations,11.11,15,15,30,-,30
1288,Payments,18. Education,Administrative Expenses,Ceremonies & Functions,P0105 ,Teachers’ Seminar / Teachers’ Day / Children’s Day,0.3,20,20,40,-,40
1289,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P0237 ,Band Sets for Schools & Colleges,-,10,10,70,-,70
1290,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P0242 ,Facilities to School Children - Mid Day Meals,49.37,100,100,100,-,100
1291,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P0243 ,"Facilities to Children - Uniform & Sweaters to Nursery, Primary & High School Students",299.52,250,100,250,-,250
1292,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P0255 ,Gnana Deepa Stipends & Scholarships to Merited Students & Disabled Students,62.4,80,50,100,-,100
1293,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P2256 ,Improvement of Educational Standard Programmes & Distribution of Auto-Biography Books of Legends to students.,2.94,50,50,50,-,50
1294,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P0249 ,Note Books to Primary & High School & Colleges,113.21,100,50,100,-,100
1295,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P1783 ,Petty & Small Repairs to Schools & Colleges,20.95,50,25,50,-,50
1296,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P1749 ,PPP with Bharatiya Vidya Bhavan,32.06,30,30,30,-,30
1297,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P0250 ,Printing of Question Papers,-,10,10,10,-,10
1298,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P0985 ,Providing School Bags to Primary & High School Students,72.37,125,100,150,-,150
1299,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3137 ,BMTC Bus Pass for BBMP School & College Students,-,50,50,100,-,100
1300,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3138 ,Mid day Meals to PUC Students studing at BBMP College,40.97,100,50,100,-,100
1301,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P0252 ,Shoes to Students (High School),101.67,265,200,300,-,300
1302,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P1590 ,Study Tour for Students,81.66,125,50,150,-,150
1303,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3406 ,Free Bus Pass to HIV patients & their Childrens,-,25,25,25,-,25
1304,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P0256 ,Text Books & Reference Books to Junior/Degree College Students,29.59,20,20,30,-,30
1305,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3257 ,Health Insurance for BBMP School/ College Students,-,-,-,95,-,95
1306,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3430 ,"Health Care Expenses for BBMP School/College Students, Income generated through FD",-,200,100,100,-,100
1307,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3259 ,Distribution of Sweaters to BBMP School Students,-,125,160,200,-,200
1308,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3260 ,Purchase of Books to BBMP Schools/Colleges,-,100,50,100,-,100
1309,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3378 ,Issue of Free Text Books to Poor students with the Descretion of Corporators,-,100,50,100,-,100
1310,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3262 ,"Payment of Examination Fees for BBMP SSLC, PUC Students",-,15,15,15,-,15
1311,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3263 ,Rent Payable to School Buildings,3.52,10,10,10,-,10
1312,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3264 ,Providing Fire Safety Equipments in BBMP Schools & Colleges,-,50,50,85,-,85
1313,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3265 ,Providing First Aid Facilities in BBMP Schools & Colleges,-,5,5,50,-,50
1314,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3267 ,Installation of RO Plants in BBMP Schools & Colleges,-,500,200,400,-,400
1315,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3550 ,BBMP District Association Of Bharath Scouts & Guides,-,100,50,100,-,100
1316,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3269 ,Providing Uniform to NCC Cadets of BBMP Schools & Colleges,-,25,25,-,-,-
1317,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3270 ,Training to Teachers BBMP Schools,-,25,25,425,-,425
1318,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3272 ,Providing 10 Green Boards for 153 BBMP Schools,-,10,10,-,-,-
1319,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3273 ,Rain Water Harvesting in BBMP Schools & College Buildings,-,200,100,200,-,200
1320,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3276 ,"Information, Education & Publicity programmes on Education",4.19,10,10,-,-,-
1321,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3277 ,CET Training to BBMP 2nd PU Students and Tally trainings & Microsoft,-,-,-,100,-,100
1322,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3278 ,BBMP Inter School Competition,-,5,5,30,-,30
1323,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3279 ,"AMC for Computer, CC Tv, Software, Antivirus, and repairs to Computers.",-,25,25,50,-,50
1324,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3280 ,"AMC for Drinking Water, Toilet etc.",-,5,5,30,-,30
1325,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3551 ,Providing Kid Play equipment’s at BBMP Nursery School,-,50,50,100,-,100
1326,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3552 ,Implementation of streamed education for BBMP schools and Annual Maintenance,-,300,100,-,-,-
1327,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3171 ,Distribution of sports materials for all wards (Rs.2 lakhs/ward),419.7,396,100,396,-,396
1328,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3282 ,"Providing Geometry box and Tie, Belts to BBMP School students.",-,5,5,20,-,20
1329,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3283 ,Sports Meterials to BBMP School/ College Students,-,15,15,50,-,50
1330,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P1842 ,Installation of Computers in Schools,-,15,15,-,-,-
1331,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P3610 ,Total Station survey of BBMP Schools & Colleges,-,-,-,20,-,20
1332,Payments,18. Education, Educational Promotion Activities, Educational Programmes,P0235 ,Establishment of Science Lab / Purchase of Lab Apparatus & Equipments & Science Lab Development,-,100,100,100,-,100
1333,Payments,18. Education,Infrastructure,Educational Buildings,P3284 ,Construction or Upgradation of School & College Buildings,-,200,-,-,-,-
1334,Payments,18. Education,Infrastructure,Educational Buildings,P3284 ,Pending Bills,-,-,-,-,42,42
1335,Payments,18. Education,Infrastructure,Educational Buildings,P3284 ,Current Works,-,-,-,-,"2,000.00","2,000.00"
1336,Payments,18. Education,Infrastructure,Educational Buildings,P3285 ,M&R of School and College Buildings,1.4,300,-,-,-,-
1337,Payments,18. Education,Infrastructure,Educational Buildings,P3285 ,Pending Bills,-,-,-,104,-,104
1338,Payments,18. Education,Infrastructure,Educational Buildings,P3285 ,Current Works (Escrow Account),-,-,-,"1,500.00",-,"1,500.00"
1339,Payments,18. Education,GOI Grants Works,Educational Programmes,P3299 ,RMSA Rastriya Madyamika Shikshana Abhiyana [High School) Expenses,-,15,-,-,-,-
1340,Payments,18. Education,GOI Grants Works,Educational Programmes,Total,Total of Education Dept.,"2,181.99","6,441.00","3,945.00","8,430.00","2,192.00","10,622.00"
1341,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P0224 ,"Assistance to Children of PKs, Gangmen,Horticulture Malies",0.14,400,200,"1,500.00",-,"1,500.00"
1342,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3407 ,Mid-Day Meals for Pourakarmikas,600,"1,500.00","1,000.00",-,-,-
1343,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3407 ,Pending Bills,-,-,-,200,-,200
1344,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3407 ,Current Works,-,-,-,"1,000.00",-,"1,000.00"
1345,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3313 ,Assistance to SC/ST PouraKarmi-ka’s & D Group (Permanent & Outsourse Employees),-,500,200,500,-,500
1346,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3408 ,Safety Equipments Kits to PK’s,-,"1,500.00",500,500,-,500
1347,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P2020 ,Financial Contribution for Individual Benefits,356.81,"1,800.00",600,700,-,700
1348,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3149 ,Matching Contribution Payable to Slum board for construction of Individual Houses(BBMP Share),4.86,"1,000.00","1,161.00","1,200.00",-,"1,200.00"
1349,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3629 ,Construction of Houses for SC/ ST Working at Graveyard/Burial Ground in BBMP Area,-,-,-,100,-,100
1350,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3705 ,Construction of MS Building for individual houses for SC/ST peoples at 26th main in Jayanagar Block 1 Tilak nagar,-,-,-,500,-,500
1351,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3706 ,Construction of MS Building for individual houses for SC/ST peoples at 30th main in Jayanagar Block 2 Tilak nagar,-,-,-,500,-,500
1352,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3612 ,Construction of individual houses for SC/ST peoples at Jayanagar Assembly Constituency,-,-,-,500,-,500
1353,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3707 ,Construction of individual houses for SC/ST peoples at BTM Assembly Constituency,-,-,-,500,-,500
1354,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3708 ,Construction of individual houses for SC/ST peoples at Dasarahalli Assembly Constituency,-,-,-,500,-,500
1355,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3709 ,"Construction of Anganavadi schools, Community Halls at Rajen-dranagara slum, A.K Colony areas in BTM Assembly Constituency",-,-,-,500,-,500
1356,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3710 ,Construction of individual houses for SC/ST peoples at KR Puram Assembly Constituency,-,-,-,500,-,500
1357,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3711 ,Construction of individual houses for SC/ST peoples at Yeshwanthpura Assembly Constituency,-,-,-,500,-,500
1358,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3712 ,Construction of individual houses at ward no 21 for SC/ST people.,-,-,-,500,-,500
1359,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P3713 ,Construction of individual houses at ward no 44 for SC/ST people.,-,-,-,500,-,500
1360,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P2021 ,Housing Scheme (Individual) (Rs.5.00 lakh per house. 10 house per ward) for SC/ST,"7,997.95","19,507.00","7,000.00",-,-,-
1361,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P2021 ,Pending Bills,-,-,-,229,-,229
1362,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P2021 ,Spillover Works,-,-,-,"8,800.00",-,"8,800.00"
1363,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Individual Programmes),P2021 ,Current Works,-,-,-,"9,900.00",-,"9,900.00"
1364,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P1878 ,Basic Infrastructure Programmes (Commimity Programmes),"7,689.44","24,894.00","11,000.00",-,-,-
1365,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P1878 ,Pending Bills,-,-,-,-,"9,241.00","9,241.00"
1366,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P1878 ,Spillover Works,-,-,-,-,"12,100.00","12,100.00"
1367,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P1878 ,Current Works,-,-,-,-,"11,000.00","11,000.00"
1368,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3431 ,Construction of Community Halls for SC/ST & PK’s at ward no.78,-,500,100,-,-,-
1369,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3431 ,Spillover Works,-,-,-,-,300,300
1370,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3553 ,Construction of Ambedkar Bhavan in Marappana palya ward ,-,500,100,-,-,-
1371,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3553 ,Spillover Works,-,-,-,-,300,300
1372,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3611 ,Construction of Samudhaya Bhavan at Gottigere,-,-,-,-,200,200
1373,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3554 ,Construction of Community Hall at Indira Gandhi Slum in wad No. 148,-,50,50,-,-,-
1374,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3555 ,Construction of RCC box drain at Srinivagilu 100 feet road to Harijana colony near defence land in ward No. 148 SC/ST areas,-,50,50,-,-,-
1375,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3556 ,Construction of Anganawadi Kendra at Harijana Colony Srinivagilu Ejipura ward No. 148 SC/St areas,-,50,50,-,-,-
1376,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3557 ,Special developmental works in Devara Jeevanahalli SC/ST areas,-,"2,000.00",-,-,-,-
1377,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3557 ,Spillover Works,-,-,-,-,"1,000.00","1,000.00"
1378,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3496 ,Development works in DJ Halli surrounding SC areas,-,"1,000.00",-,-,-,-
1379,Payments,19. Welfare,24.10% SC/ST Welfare Programmes,Basic Infrastructure Programmes (Community Programmes),P3496 ,Spillover Works,-,-,-,-,400,400
